Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
10.0,2018-09-05,call,VIX180905C00010000,3.8,3.2,4.6,0.0,0.0,84.0,136.0,5.289065888671875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 15:58:19,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 3.8, 'contractSymbol': 'VIX180905C00010000', 'volume': 84, 'expiration': 1536105600, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 5.289065888671875, 'currency': 'USD', 'bid': 3.2, 'openInterest': 136, 'lastTradeDate': 1536076699, 'change': 0.0, 'ask': 4.6}"
10.0,2018-09-05,put,VIX180905P00010000,0.02,0.0,0.05,-0.01,-33.333336,70.0,73.0,2.1250046874999997,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 14:50:41,"{'percentChange': -33.333336, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180905P00010000', 'volume': 70, 'expiration': 1536105600, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 2.1250046874999997, 'currency': 'USD', 'bid': 0.0, 'openInterest': 73, 'lastTradeDate': 1536072641, 'change': -0.01, 'ask': 0.05}"
10.0,2018-09-12,call,VIX180912C00010000,4.2,3.4,4.9,-0.4000001,-8.695655,72.0,13.0,2.93750265625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 15:17:36,"{'percentChange': -8.695655, 'contractSize': 'REGULAR', 'lastPrice': 4.2, 'contractSymbol': 'VIX180912C00010000', 'volume': 72, 'expiration': 1536710400, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 2.93750265625, 'currency': 'USD', 'bid': 3.4, 'openInterest': 13, 'lastTradeDate': 1536074256, 'change': -0.4000001, 'ask': 4.9}"
10.0,2018-09-12,put,VIX180912P00010000,0.02,0.0,0.05,-0.01,-33.333336,70.0,1.0,0.9960937890625,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 14:50:41,"{'percentChange': -33.333336, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180912P00010000', 'volume': 70, 'expiration': 1536710400, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.9960937890625, 'currency': 'USD', 'bid': 0.0, 'openInterest': 1, 'lastTradeDate': 1536072641, 'change': -0.01, 'ask': 0.05}"
10.0,2018-09-19,call,VIX180919C00010000,4.3,4.3,4.5,-0.099999905,-2.272725,85.0,949.0,2.5195349511718748,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 18:45:05,"{'percentChange': -2.272725, 'contractSize': 'REGULAR', 'lastPrice': 4.3, 'contractSymbol': 'VIX180919C00010000', 'volume': 85, 'expiration': 1537315200, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 2.5195349511718748, 'currency': 'USD', 'bid': 4.3, 'openInterest': 949, 'lastTradeDate': 1536086705, 'change': -0.099999905, 'ask': 4.5}"
10.0,2018-09-19,put,VIX180919P00010000,0.02,0.0,0.05,0.01,100.0,27.0,3601.0,0.7500025,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 17:41:07,"{'percentChange': 100.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180919P00010000', 'volume': 27, 'expiration': 1537315200, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.7500025, 'currency': 'USD', 'bid': 0.0, 'openInterest': 3601, 'lastTradeDate': 1535737267, 'change': 0.01, 'ask': 0.05}"
10.0,2018-09-26,call,VIX180926C00010000,5.0,3.7,5.1,0.0,0.0,3.0,41.0,2.1015672460937496,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 16:23:48,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 5.0, 'contractSymbol': 'VIX180926C00010000', 'volume': 3, 'expiration': 1537920000, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 2.1015672460937496, 'currency': 'USD', 'bid': 3.7, 'openInterest': 41, 'lastTradeDate': 1536078228, 'change': 0.0, 'ask': 5.1}"
10.0,2018-09-26,put,VIX180926P00010000,0.02,0.0,0.05,0.0,0.0,1.0,66.0,0.6250037500000001,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-29 13:30:02,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX180926P00010000', 'volume': 1, 'expiration': 1537920000, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.6250037500000001, 'currency': 'USD', 'bid': 0.0, 'openInterest': 66, 'lastTradeDate': 1535549402, 'change': 0.0, 'ask': 0.05}"
10.0,2018-10-17,call,VIX181017C00010000,5.7,5.2,5.5,0.2999997,5.55555,1.0,687.0,2.2119185327148427,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 13:49:48,"{'percentChange': 5.55555, 'contractSize': 'REGULAR', 'lastPrice': 5.7, 'contractSymbol': 'VIX181017C00010000', 'volume': 1, 'expiration': 1539734400, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 2.2119185327148427, 'currency': 'USD', 'bid': 5.2, 'openInterest': 687, 'lastTradeDate': 1536068988, 'change': 0.2999997, 'ask': 5.5}"
10.0,2018-10-17,put,VIX181017P00010000,0.03,0.0,0.05,0.01,50.0,7.0,8398.0,0.51562984375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 17:10:20,"{'percentChange': 50.0, 'contractSize': 'REGULAR', 'lastPrice': 0.03, 'contractSymbol': 'VIX181017P00010000', 'volume': 7, 'expiration': 1539734400, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.51562984375, 'currency': 'USD', 'bid': 0.0, 'openInterest': 8398, 'lastTradeDate': 1536081020, 'change': 0.01, 'ask': 0.05}"
10.0,2018-11-21,call,VIX181121C00010000,5.93,5.5,5.7,0.23000002,4.035088,21.0,1250.0,1.78515732421875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-31 17:34:50,"{'percentChange': 4.035088, 'contractSize': 'REGULAR', 'lastPrice': 5.93, 'contractSymbol': 'VIX181121C00010000', 'volume': 21, 'expiration': 1542758400, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 1.78515732421875, 'currency': 'USD', 'bid': 5.5, 'openInterest': 1250, 'lastTradeDate': 1535736890, 'change': 0.23000002, 'ask': 5.7}"
10.0,2018-11-21,put,VIX181121P00010000,0.05,0.0,0.05,0.020000001,66.66667,6.0,34643.0,0.38672488281249995,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 15:14:24,"{'percentChange': 66.66667, 'contractSize': 'REGULAR', 'lastPrice': 0.05, 'contractSymbol': 'VIX181121P00010000', 'volume': 6, 'expiration': 1542758400, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.38672488281249995, 'currency': 'USD', 'bid': 0.0, 'openInterest': 34643, 'lastTradeDate': 1536074064, 'change': 0.020000001, 'ask': 0.05}"
10.0,2018-12-19,call,VIX181219C00010000,6.0,5.8,6.0,-0.03000021,-0.49751592,1.0,1831.0,1.673829755859375,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-09-04 13:56:15,"{'percentChange': -0.49751592, 'contractSize': 'REGULAR', 'lastPrice': 6.0, 'contractSymbol': 'VIX181219C00010000', 'volume': 1, 'expiration': 1545177600, 'strike': 10.0, 'inTheMoney': True, 'impliedVolatility': 1.673829755859375, 'currency': 'USD', 'bid': 5.8, 'openInterest': 1831, 'lastTradeDate': 1536069375, 'change': -0.03000021, 'ask': 6.0}"
10.0,2018-12-19,put,VIX181219P00010000,0.02,0.0,0.05,0.0,0.0,45.0,2416.0,0.3320379296875,VIX,True,^VIX,13.29,2018-09-04 19:13:08,2018-08-30 19:23:59,"{'percentChange': 0.0, 'contractSize': 'REGULAR', 'lastPrice': 0.02, 'contractSymbol': 'VIX181219P00010000', 'volume': 45, 'expiration': 1545177600, 'strike': 10.0, 'inTheMoney': False, 'impliedVolatility': 0.3320379296875, 'currency': 'USD', 'bid': 0.0, 'openInterest': 2416, 'lastTradeDate': 1535657039, 'change': 0.0, 'ask': 0.05}"
