Strike,Expiry,Type,Symbol,Last,Bid,Ask,Chg,PctChg,Vol,Open_Int,IV,Root,IsNonstandard,Underlying,Underlying_Price,Quote_Time,Last_Trade_Date,JSON
4.06,2020-07-17,call,ZVZZT200717C00004060,1.1,0.0,0.0,0.0,0.0,0.0,0.0,1.0000000000000003e-05,ZVZZT,True,SPY,289.36,2018-09-05 13:40:39,1970-01-01 00:00:00,"{'inTheMoney': True, 'currency': 'USD', 'volume': 0, 'openInterest': 0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 4.06, 'change': 0.0, 'contractSymbol': 'ZVZZT200717C00004060', 'contractSize': 'REGULAR', 'lastTradeDate': 0, 'bid': 0.0, 'ask': 0.0, 'lastPrice': 1.1, 'expiration': 1594944000, 'percentChange': 0.0}"
25.0,2019-12-20,call,SPY191220C00025000,253.96,251.5,256.5,253.96,100.0,250.0,0.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-06-14 19:41:13,"{'inTheMoney': True, 'currency': 'USD', 'volume': 250, 'openInterest': 0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 25.0, 'change': 253.96, 'contractSymbol': 'SPY191220C00025000', 'contractSize': 'REGULAR', 'lastTradeDate': 1529005273, 'bid': 251.5, 'ask': 256.5, 'lastPrice': 253.96, 'expiration': 1576800000, 'percentChange': 100.0}"
25.0,2019-12-20,put,SPY191220P00025000,0.01,0.0,0.06,0.01,100.0,20.0,4397.0,0.7304714453125,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-05-16 14:08:07,"{'inTheMoney': False, 'currency': 'USD', 'volume': 20, 'openInterest': 4397, 'impliedVolatility': 0.7304714453125, 'strike': 25.0, 'change': 0.01, 'contractSymbol': 'SPY191220P00025000', 'contractSize': 'REGULAR', 'lastTradeDate': 1526479687, 'bid': 0.0, 'ask': 0.06, 'lastPrice': 0.01, 'expiration': 1576800000, 'percentChange': 100.0}"
25.0,2020-12-18,call,SPY201218C00025000,254.78,251.5,256.5,254.78,100.0,1.0,0.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:39,2018-07-13 16:02:16,"{'inTheMoney': True, 'currency': 'USD', 'volume': 1, 'openInterest': 0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 25.0, 'change': 254.78, 'contractSymbol': 'SPY201218C00025000', 'contractSize': 'REGULAR', 'lastTradeDate': 1531497736, 'bid': 251.5, 'ask': 256.5, 'lastPrice': 254.78, 'expiration': 1608249600, 'percentChange': 100.0}"
25.0,2020-12-18,put,SPY201218P00025000,0.01,0.01,0.08,-0.02,-66.66667,1.0,2890.0,0.570316796875,SPY,False,SPY,289.36,2018-09-05 13:40:39,2018-08-31 14:04:26,"{'inTheMoney': False, 'currency': 'USD', 'volume': 1, 'openInterest': 2890, 'impliedVolatility': 0.570316796875, 'strike': 25.0, 'change': -0.02, 'contractSymbol': 'SPY201218P00025000', 'contractSize': 'REGULAR', 'lastTradeDate': 1535724266, 'bid': 0.01, 'ask': 0.08, 'lastPrice': 0.01, 'expiration': 1608249600, 'percentChange': -66.66667}"
30.0,2019-12-20,call,SPY191220C00030000,234.26,246.5,251.5,234.26,100.0,7.0,7.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2017-12-01 20:48:40,"{'inTheMoney': True, 'currency': 'USD', 'volume': 7, 'openInterest': 7, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 30.0, 'change': 234.26, 'contractSymbol': 'SPY191220C00030000', 'contractSize': 'REGULAR', 'lastTradeDate': 1512161320, 'bid': 246.5, 'ask': 251.5, 'lastPrice': 234.26, 'expiration': 1576800000, 'percentChange': 100.0}"
30.0,2019-12-20,put,SPY191220P00030000,0.02,0.0,0.06,0.02,100.0,1.0,23.0,0.6757844921875001,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-04-09 13:33:37,"{'inTheMoney': False, 'currency': 'USD', 'volume': 1, 'openInterest': 23, 'impliedVolatility': 0.6757844921875001, 'strike': 30.0, 'change': 0.02, 'contractSymbol': 'SPY191220P00030000', 'contractSize': 'REGULAR', 'lastTradeDate': 1523280817, 'bid': 0.0, 'ask': 0.06, 'lastPrice': 0.02, 'expiration': 1576800000, 'percentChange': 100.0}"
35.0,2019-12-20,put,SPY191220P00035000,0.02,0.01,0.03,-0.01,-33.333336,64.0,5453.0,0.6054726953125001,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-03 18:57:03,"{'inTheMoney': False, 'currency': 'USD', 'volume': 64, 'openInterest': 5453, 'impliedVolatility': 0.6054726953125001, 'strike': 35.0, 'change': -0.01, 'contractSymbol': 'SPY191220P00035000', 'contractSize': 'REGULAR', 'lastTradeDate': 1533322623, 'bid': 0.01, 'ask': 0.03, 'lastPrice': 0.02, 'expiration': 1576800000, 'percentChange': -33.333336}"
40.0,2019-03-15,put,SPY190315P00040000,0.01,0.0,0.06,0.01,100.0,10.0,83.0,0.92187578125,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-06-26 15:47:48,"{'inTheMoney': False, 'currency': 'USD', 'volume': 10, 'openInterest': 83, 'impliedVolatility': 0.92187578125, 'strike': 40.0, 'change': 0.01, 'contractSymbol': 'SPY190315P00040000', 'contractSize': 'REGULAR', 'lastTradeDate': 1530028068, 'bid': 0.0, 'ask': 0.06, 'lastPrice': 0.01, 'expiration': 1552608000, 'percentChange': 100.0}"
40.0,2019-06-21,call,SPY190621C00040000,236.99,239.48,240.05,0.0,0.0,2.0,1.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-07-14 03:55:58,"{'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 1, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 40.0, 'change': 0.0, 'contractSymbol': 'SPY190621C00040000', 'contractSize': 'REGULAR', 'lastTradeDate': 1531540558, 'bid': 239.48, 'ask': 240.05, 'lastPrice': 236.99, 'expiration': 1561075200, 'percentChange': 0.0}"
40.0,2019-06-21,put,SPY190621P00040000,0.02,0.0,0.02,0.0,0.0,64.0,101.0,0.6875031250000001,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-08-06 17:37:05,"{'inTheMoney': False, 'currency': 'USD', 'volume': 64, 'openInterest': 101, 'impliedVolatility': 0.6875031250000001, 'strike': 40.0, 'change': 0.0, 'contractSymbol': 'SPY190621P00040000', 'contractSize': 'REGULAR', 'lastTradeDate': 1533577025, 'bid': 0.0, 'ask': 0.02, 'lastPrice': 0.02, 'expiration': 1561075200, 'percentChange': 0.0}"
40.0,2019-12-20,call,SPY191220C00040000,203.22,236.5,241.5,203.22,100.0,2.0,0.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2017-07-01 03:52:06,"{'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 40.0, 'change': 203.22, 'contractSymbol': 'SPY191220C00040000', 'contractSize': 'REGULAR', 'lastTradeDate': 1498881126, 'bid': 236.5, 'ask': 241.5, 'lastPrice': 203.22, 'expiration': 1576800000, 'percentChange': 100.0}"
40.0,2019-12-20,put,SPY191220P00040000,0.04,0.01,0.04,0.04,100.0,30.0,938.0,0.57812921875,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-05-02 18:34:40,"{'inTheMoney': False, 'currency': 'USD', 'volume': 30, 'openInterest': 938, 'impliedVolatility': 0.57812921875, 'strike': 40.0, 'change': 0.04, 'contractSymbol': 'SPY191220P00040000', 'contractSize': 'REGULAR', 'lastTradeDate': 1525286080, 'bid': 0.01, 'ask': 0.04, 'lastPrice': 0.04, 'expiration': 1576800000, 'percentChange': 100.0}"
45.0,2019-01-18,call,SPY190118C00045000,198.56,232.7,235.93,198.56,100.0,2.0,0.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2017-07-01 03:51:59,"{'inTheMoney': True, 'currency': 'USD', 'volume': 2, 'openInterest': 0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 45.0, 'change': 198.56, 'contractSymbol': 'SPY190118C00045000', 'contractSize': 'REGULAR', 'lastTradeDate': 1498881119, 'bid': 232.7, 'ask': 235.93, 'lastPrice': 198.56, 'expiration': 1547769600, 'percentChange': 100.0}"
45.0,2019-12-20,call,SPY191220C00045000,193.51,231.5,236.5,193.51,100.0,108.0,0.0,1.0000000000000003e-05,SPY,False,SPY,289.36,2018-09-05 13:40:38,2017-06-03 03:47:06,"{'inTheMoney': True, 'currency': 'USD', 'volume': 108, 'openInterest': 0, 'impliedVolatility': 1.0000000000000003e-05, 'strike': 45.0, 'change': 193.51, 'contractSymbol': 'SPY191220C00045000', 'contractSize': 'REGULAR', 'lastTradeDate': 1496461626, 'bid': 231.5, 'ask': 236.5, 'lastPrice': 193.51, 'expiration': 1576800000, 'percentChange': 100.0}"
45.0,2019-12-20,put,SPY191220P00045000,0.04,0.01,0.07,0.04,100.0,100.0,1768.0,0.5664105859375,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-03-23 20:14:31,"{'inTheMoney': False, 'currency': 'USD', 'volume': 100, 'openInterest': 1768, 'impliedVolatility': 0.5664105859375, 'strike': 45.0, 'change': 0.04, 'contractSymbol': 'SPY191220P00045000', 'contractSize': 'REGULAR', 'lastTradeDate': 1521836071, 'bid': 0.01, 'ask': 0.07, 'lastPrice': 0.04, 'expiration': 1576800000, 'percentChange': 100.0}"
50.0,2019-03-15,put,SPY190315P00050000,0.03,0.01,0.06,0.03,100.0,10.0,32.0,0.8281267187499999,SPY,False,SPY,289.36,2018-09-05 13:40:38,2017-06-03 03:51:43,"{'inTheMoney': False, 'currency': 'USD', 'volume': 10, 'openInterest': 32, 'impliedVolatility': 0.8281267187499999, 'strike': 50.0, 'change': 0.03, 'contractSymbol': 'SPY190315P00050000', 'contractSize': 'REGULAR', 'lastTradeDate': 1496461903, 'bid': 0.01, 'ask': 0.06, 'lastPrice': 0.03, 'expiration': 1552608000, 'percentChange': 100.0}"
50.0,2019-06-21,put,SPY190621P00050000,0.07,0.0,0.07,0.07,100.0,10.0,11.0,0.6757844921875001,SPY,False,SPY,289.36,2018-09-05 13:40:38,2018-02-09 17:47:04,"{'inTheMoney': False, 'currency': 'USD', 'volume': 10, 'openInterest': 11, 'impliedVolatility': 0.6757844921875001, 'strike': 50.0, 'change': 0.07, 'contractSymbol': 'SPY190621P00050000', 'contractSize': 'REGULAR', 'lastTradeDate': 1518198424, 'bid': 0.0, 'ask': 0.07, 'lastPrice': 0.07, 'expiration': 1561075200, 'percentChange': 100.0}"
